timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691608350077,271,ntx/-273,400,Bad Request,Grupo de Usuários 1-1,text,false,,200,496,1,1,http://r3.o.lencr.org/,270,0,64
1691608350358,2010,ntx/NTX/ntxLogin-291,200,,Grupo de Usuários 1-1,text,true,,97328,933,1,1,http://srvwp15.westeurope.cloudapp.azure.com:8084/NTX/ntxIndexDashboard,446,0,235
1691608350358,446,ntx/NTX/ntxLogin-291-0,302,,Grupo de Usuários 1-1,,true,,155,462,1,1,http://srvwp15.westeurope.cloudapp.azure.com:8084/NTX/ntxLogin,446,0,235
1691608350805,1563,ntx/NTX/ntxLogin-291-1,200,,Grupo de Usuários 1-1,text,true,,97173,471,1,1,http://srvwp15.westeurope.cloudapp.azure.com:8084/NTX/ntxIndexDashboard,944,0,0
1691608352369,205,ntx/NTX/img/ntx_logo.svg-317,200,,Grupo de Usuários 1-1,text,true,,3026,453,1,1,http://srvwp15.westeurope.cloudapp.azure.com:8084/NTX/img/ntx_logo.svg,205,0,0
1691608352576,211,ntx/NTX/img/ntx_pattern.svg-318,200,,Grupo de Usuários 1-1,text,true,,1286,456,1,1,http://srvwp15.westeurope.cloudapp.azure.com:8084/NTX/img/ntx_pattern.svg,211,0,0
1691608350032,2697,ntx,,"Number of samples in transaction : 4, number of failing samples : 1",Grupo de Usuários 1-1,,false,,101840,2338,1,1,null,1132,57,299
1691608352789,253,ntx/NTX/ntxLogin?POSTOption=Login&username=admin&ntxUrl=http%3A%2F%2Fsrvwp15.westeurope.cloudapp.azure.com%3A8084%2FNTX%2FntxLogin&auth=U2FsdGVkX1%2FPZAceBOXwZHxHN4DCU9kyRbh5nmGoA%2Fw%3D-322,200,,Grupo de Usuários 1-1,,true,,122,789,1,1,http://srvwp15.westeurope.cloudapp.azure.com:8084/NTX/ntxLogin?POSTOption=Login&username=admin&ntxUrl=http%3A%2F%2Fsrvwp15.westeurope.cloudapp.azure.com%3A8084%2FNTX%2FntxLogin&auth=U2FsdGVkX1%2FPZAceBOXwZHxHN4DCU9kyRbh5nmGoA%2Fw%3D,253,0,0
1691608353063,885,ntx/NTX/ntxIndexDashboard-323,200,,Grupo de Usuários 1-1,text,true,,97173,544,1,1,http://srvwp15.westeurope.cloudapp.azure.com:8084/NTX/ntxIndexDashboard,640,0,0
1691608353950,427,ntx/NTX/fonts/fa-solid-900.woff2-376,200,,Grupo de Usuários 1-1,text,true,,74578,519,1,1,http://srvwp15.westeurope.cloudapp.azure.com:8084/NTX/fonts/fa-solid-900.woff2,215,0,0
1691608352788,1565,ntx,200,"Number of samples in transaction : 3, number of failing samples : 0",Grupo de Usuários 1-1,,true,,171873,1852,1,1,null,1108,25,0
